1: 292705/1278378
402: 3'2/45
403: 178'8/13
404: 3
405: 66'9/83
406: 26'47/82
407: 2657'31/76
408: 1/35
409: 6538'1/11
410: 43'81/89
411: 58/6825
412: 3'2/5
413: 81
414: 1'31739/2024
415: 396/875
416: 3'38/47
417: 73/7524
418: 67'14/55
419: 5'27/46
420: 7'1649/1743
421: 164
422: 44
423: 836'8/37
424: 25'39835/179949
425: 34/1225
426: 33'35/39
427: 3677'17/23
428: 6035/7728
429: 9'85/168
430: 11/148
431: 5146
432: 4'36/71
433: 111'5/8
434: 6
435: 35/41
436: 33'443/176
437: 1'5/17
438: 13/8064
439: 1'1/11
440: 8'87/418
441: 1306'1/2
442: 52931/80703
443: 167'3/7
444: 248/549
445: 115/624
446: 262/407
447: 68'17/22
448: 56'7/18
449: 19'2/3
450: 1'1073/1512
451: 175/3751
452: 14
453: 1'481/1476
454: 27'791/1107
455: 47/204
456: 56
457: 12'13/82
458: 25/8778
459: 41'52/63
460: 3'175/333
461: 1/871
462: 3121'16/19
463: 3/224
464: 1'29/155
465: 268'31/575
466: 12'33/38
467: 86'8/77
468: 2'23/36
469: 21/1
470: 33/221
471: 27
472: 12'359/736
473: 54162
474: 16'4/9
475: 7'3/16
476: 11/12
477: 227'61/73
478: 21781/81396
479: 187'13/14
480: 1'5/34
481: 1'34/387
482: 11/14
483: 59'13/24
484: 6'277/308
485: 28'565/1568
486: 19'38/83
487: 329
488: 2'21/29
489: 3'43/1
490: 578
491: 16'19/74
492: 3'21/26
493: 2'83/1045
494: 49/51
495: 89'726/817
496: 449'1/9
497: 2251'1/2
498: 75'11/42
499: 71/21252
500: 68'26/75
501: 87
502: 2301
503: 10919'14/15
504: 91'11/17
505: 39'7/72
506: 52'3/22
507: 14'638/713
508: 4/209
509: 5/6
510: 517/928
511: 106
512: 565/588
513: 4802
514: 71'4/15
515: 29/4
516: 1'7/23
517: 4'1409/1872
518: 65'21/23
519: 135
520: 25'39737/54457
521: 1'43/46
522: 62'37/4
523: 8'1/26
524: 1089
525: 21'3/5
526: 513273'3/5
527: 131
528: 9475/349976
529: 72
530: 2'12/17
531: 257'1/292
532: 1'15/22
533: 1804'44/57
534: 100035
535: 14'5/23
536: 334'13/2
537: 83'13/71
538: 592'1471/4653
539: 1842'42/43
540: 9'45/121
541: 78'6358/7215
542: 257
543: 19'68/81
544: 3
545: 91'7029/15416
546: 51/11
547: 1'4/19
548: 1'1333/528
549: 531'1/23
550: 76/165
551: 588/1513
552: 327'3/23
553: 1'1095/1612
554: 43/154
555: 24'13991/14355
556: 904'4/9
557: 8'7/9
558: 59'58/85
559: 5434'158/285
560: 57'241/399
561: 35/144
562: 1'184/1175
563: 1'506/1209
564: 7/12
565: 32/81
566: 1/3
567: 78'41/44
568: 2088
569: 29/672
570: 9'2/3
571: 1
572: 116
573: 9/52
574: 2999'2/7
575: 54/3431
576: 95'19/46
577: 236'1/29
578: 74'1/21
579: 101
580: 1/154
581: 64
582: 69'1/3
583: 185/5762
584: 19'655/2343
585: 124
586: 149'1/2
587: 28'5/11
588: 75'13/97
589: 24'9/13
590: 186272/1281643
591: 251'74/95
592: 1387/1694
593: 62'313/391
594: 1'3/32
595: 9/92
596: 88'19/29
597: 4
598: 13'451/1073
599: 1248
600: 594'6/47
601: 61
602: 74'17495/28336
603: 197/495
604: 11'257/264
605: 1'23469/47821
606: 77'7/32
607: 88673/11904
608: 2'4/5
609: 4'69/7
610: 3'1/5
611: 221'5/34
612: 86'3/26
613: 325/1242
614: 832
615: 1'1/14
616: 6'2/15
617: 2'32/47
618: 1/32
619: 4'41/42
620: 1'747/95
621: 2116/3213
622: 2697'3/11
623: 1'26/99
624: 119'4/49
625: 1'72/97
626: 15/12397
627: 1/4898
628: 97'7346/9405
629: 33/49
630: 71'23/38
631: 8'2/13
632: 1'16/41
633: 28'1/228
634: 12'1/11
635: 39'317/385
636: 76'8/17
637: 83'11/31
638: 54'5/8
639: 1'983/1357
640: 3'2/7
641: 75/4462
642: 12556/260865
643: 143/391
644: 4895
645: 9'74/81
646: 58'1/11
647: 17'34/99
648: 244
649: 16/329
650: 18'29/96
651: 86'521/153
652: 49'1/9
653: 2145
654: 29'44969/483
655: 7'14/23
656: 19'1/8
657: 565/16254
658: 98'27/34
659: 3593/17408
660: 69'9/22
661: 51'1/4
662: 82'1/3
663: 19
664: 1'509/851
665: 1'859/2277
666: 1349/1872
667: 13/84
668: 4'8/13
669: 89'9/19
670: 79
671: 15
672: 18'601/2325
673: 14'11657/39585
674: 62'75/83
675: 1433/4425
676: 6'5/24
677: 2683/297
678: 3'3/49
679: 6'5/48
680: 47/171
681: 177'9/13
682: 5235'7/15
683: 1807/224
684: 118'38/41
685: 99'88/95
686: 42'8/11
687: 1'32/41
688: 32317/101574
689: 407/497
690: 17/29
691: 58/91
692: 144'16/19
693: 62'25/38
694: 28'66/95
695: 187'95/99
696: 42'15/23
697: 26152/784765
698: 1
699: 23'3/25
700: 2'11209/2632
701: 623'29/32
702: 109'27/31
703: 55/93
704: 2077/25201
705: 1'223/504
706: 3/62
707: 816'13/3
708: 16853
709: 17'6437/7326
710: 1'335/1394
711: 10297'7/11
712: 2'8/15
713: 231/5
714: 33
715: 43
716: 61/1008
717: 26'73/132
718: 76
719: 5'9/14
720: 1/28
721: 159/364
722: 54'1/12
723: 24'14/15
724: 46'3/7
725: 1'77/299
726: 41'1/2
727: 25
728: 76'4215/4823
729: 23'7/31
730: 65'5759/26726
731: 356/2457
732: 5/333
733: 108
734: 5'103/513
735: 137/14
736: 65
737: 3'11938/18275
738: 54/67
739: 1'1085/2747
740: 781/1411
741: 1'42547/67893
742: 7125
743: 8
744: 1519/172
745: 76/989
746: 95'1/5
747: 6491/7553
748: 363
749: 6'11/18
750: 3225'2/23
751: 1/392
752: 8'17/26
753: 11/32
754: 14'3/97
755: 46'8/9
756: 33/178
757: 10607/6264
758: 33'17/1975
759: 82'845/1411
760: 17/528
761: 1'69674/102225
762: 1'4/7
763: 54'76/99
764: 23/88
765: 263'1/13
766: 1'1841/3471
767: 113'5/8
768: 34/2303
769: 35/4876
770: 8'132/133
771: 108/671
772: 78'117/125
773: 4'4/23
774: 35/989
775: 58'15/52
776: 493655
777: 7'959/1053
778: 1513/2212
779: 1087'36/37
780: 66'17/22
781: 262'6/17
782: 407/854
783: 1'191/664
784: 278'6/47
785: 74/135
786: 144
787: 18'5969/1711
788: 585'5/19
789: 4'1202/1887
790: 13/649
791: 1'33/196
792: 448096
793: 4464'264/299
794: 151/744
795: 28'21/31
796: 4'11/15
797: 63
798: 7'3/7
799: 2221'2476/2553
800: 189'6/19
801: 1'27/62
802: 1'2279/3822
803: 7'119/195
804: 34'503/627
805: 5'15/44
806: 59/84
807: 56'998/3479
808: 23'12/17
809: 533/7008
810: 6'2/5
811: 7'25/29
812: 115'2/5
813: 123635/5089394
814: 81'105/874
815: 2'113/48
816: 46'16/189
817: 1272/1357
818: 548'4/37
819: 1'2/27
820: 551/2079
821: 146'3/4
822: 17'33/68
823: 108
824: 4'2144/7755
825: 2/27
826: 3/14
827: 48'7/416
828: 1303/10064
829: 7'8119/11136
830: 95'56/93
831: 1419/2516
832: 207
833: 13
834: 24'47/62
835: 9/62
836: 44/49
837: 127'51/77
838: 677'1/28
839: 1257/166
840: 2003/247
841: 74'47/49
842: 1779
843: 66'27/44
844: 25/184
845: 4'20896/42581
846: 55'1/2
847: 5'25/88
848: 145'263/549
849: 16'8/13
850: 1877/44781
851: 29'1409/236
852: 2911'3/7
853: 78'23/66
854: 76
855: 91'1/8
856: 361/105
857: 108'27/1976
858: 588
859: 161
860: 13'1/3
861: 33
862: 157
863: 335/609
864: 5/12
865: 1981
866: 833/912
867: 106
868: 234
869: 13'3/8
870: 1'303/49
871: 2'31/1
872: 255/268
873: 73
874: 125/1071
875: 4'8/11
876: 396/2263
877: 11/182
878: 988'16/25
879: 152'1/3
880: 12'6/7
881: 8'85/108
882: 45/328
883: 4257/29192
884: 41'3/8
885: 265/594
886: 41'18/37
887: 5'8/243
888: 27/2263
889: 39'1393/156
890: 1556'77/83
891: 94'16/135
892: 53'257/126
893: 6'555/3053
894: 46'9/25
895: 9'6/17
896: 755'83/95
897: 34'4/5
898: 81'655/798
899: 35
900: 141'1/13
901: 88'17/962
902: 45'3/11
903: 995'44/61
904: 35/72
905: 7267/19975
906: 1'172/851
907: 31'859/896
908: 1
909: 517'9/65
910: 7/17
911: 559/738
912: 8'21/29
913: 102
914: 21'1/5
915: 559/1479
916: 48'332/363
917: 62'2008/3211
918: 1'2288/4743
919: 22'22/23
920: 28/19437
921: 7413/2873
922: 461/1924
923: 5'5/84
924: 36'1/297
925: 2'1/7
926: 1'1214/3285
927: 212'11/16
928: 63'315/1147
929: 4445/4559
930: 67
931: 12'57/74
932: 38'208/2701
933: 1'3557/7742
934: 5'1/2
935: 1435'23/63
936: 81'192/2183
937: 71'16/17
938: 143/457098
939: 83/126
940: 122'3/14
941: 22'257/308
942: 3771/4108
943: 12/1577
944: 113'355/1311
945: 2'14/23
946: 6364
947: 1/1309
948: 48
949: 13/247938
950: 3301'54/85
951: 29'6/13
952: 85'35/39
953: 11/58682
954: 143
955: 83'6/19
956: 28'42/61
957: 6499
958: 7'47/95
959: 4'3587/3854
960: 21/128
961: 16'1/2
962: 27
963: 2'8/11
964: 25'826/6177
965: 29/1984
966: 1'1349/5544
967: 1'14/71
968: 289/2989
969: 589'47/102
970: 11'917/3266
971: 2767/12672
972: 3/4
973: 7'1/12
974: 114'13/37
975: 1'2125/3564
976: 14/25
977: 1'177/416
978: 93'3/37
979: 11'53/235
980: 36'493/855
981: 5'149/37
982: 59
983: 1'3/25
984: 155'9/38
985: 58
986: 1814'9/29
987: 108
988: 33'2/3
989: 4/1155
990: 247/581
991: 1'19/36
992: 25
993: 132
994: 98
995: 7'222/931
996: 1'12/25
997: 65'3/56
998: 1105
999: 8542
1000: 135'2/3
1001: 9'257/629
1002: 245
1003: 27871/47619
1004: 4345
1005: 3'13/2
1006: 1'325/342
1007: 17'1/2
1008: 5'763/88
1009: 856/4797
1010: 3881/4872
1011: 23'83/97
1012: 2'17/96
1013: 8'1042/1221
1014: 199/418
1015: 113'68/81
1016: 61'1/87
1017: 3'23997/407
1018: 18'2/5
1019: 94'4/45
1020: 4'13/48
1021: 73'13/18
1022: 126/1079
1023: 114'21/22
1024: 7/44
1025: 22'17/38
1026: 92'47/78
1027: 1'733/276
1028: 404/2037
1029: 1'43/98
1030: 6231
1031: 554'34/43
1032: 134
1033: 237'21/23
1034: 3'106/195
1035: 13'71/402
1036: 18'1/2
1037: 57'17/19
1038: 49'15/34
1039: 1
1040: 2'54/73
1041: 39
1042: 37'7/9
1043: 51'15/29
1044: 1'108937/116688
1045: 123'49/57
1046: 95'25/39
1047: 8/29
1048: 52
1049: 32'4/1449
1050: 12'12/13
1051: 3'85/121
1052: 1'12443/42874
1053: 81'71/18
1054: 1'83249/14504
1055: 237'3/5
1056: 16/69
1057: 4'1/29
1058: 262'124/133
1059: 184'232/437
1060: 26/67
1061: 1368
1062: 7'227/405
1063: 75
1064: 3'64/135
1065: 47'28/93
1066: 19'281/589
1067: 97'6/55
1068: 85'7/16
1069: 49/73
1070: 936'192/203
1071: 236/2627
1072: 18'32/403
1073: 21'2/23
1074: 9/16
1075: 7'27/29
1076: 85/3146
1077: 821'561/581
1078: 9/16
1079: 211/55
1080: 3'10733/24225
1081: 12'5/89
1082: 14'2/5
1083: 34'5/23
1084: 289263'1/3
1085: 1'121/95
1086: 52'114/611
1087: 1'11113/2178
1088: 1316/1333
1089: 34804/143811
1090: 25
1091: 27'11/92
1092: 6'26/61
1093: 11/34
1094: 121
1095: 2'13/264
1096: 52'3/74
1097: 2108/6699
1098: 2'1/2
1099: 17'38/83
1100: 1'199/2291
1101: 267'349/603
1102: 16'64/689
1103: 17'22/35
1104: 33'27/53
1105: 97/1287
1106: 252/377
1107: 88'33/56
1108: 38'2/3
1109: 62'3/7
1110: 3/64
1111: 84'7/12
1112: 7/155
1113: 2/3
1114: 22'807/88
1115: 115'7/12
1116: 42'284/455
1117: 65/68
1118: 3433/3626
1119: 34'8/187
1120: 74'5/6
1121: 56'2/55
1122: 17'3/11
1123: 1'59/506
1124: 18'3222/7505
1125: 4/363
1126: 456
1127: 2/3
1128: 12923'1/13
1129: 1/51
1130: 39/425
1131: 197/504
1132: 114
1133: 71'3/29
1134: 142'28/93
1135: 38'19/82
1136: 3332
1137: 63'13/19
1138: 16'298/355
1139: 445'576/1085
1140: 1462'1/5
1141: 1386'16/21
1142: 253
1143: 88'1253/1587
1144: 4'1/85
1145: 84'43/297
1146: 27'13/5
1147: 107'2083/4368
1148: 42
1149: 117
1150: 215
1151: 15'15/47
1152: 8'32/67
1153: 98
1154: 32'37/59
1155: 24'11/68
1156: 5762'496/1139
1157: 839/1056
1158: 94'2/7
1159: 5/182
1160: 461'2/7
1161: 39/224
1162: 54'31/67
1163: 5'569/4187
1164: 21
1165: 1'65/992
1166: 139'26/29
1167: 3'47/792
1168: 36'2/21
1169: 27'1/2
1170: 5697'2/11
1171: 5'4/15
1172: 658
1173: 1/15
1174: 4'3244/6853
1175: 1725/6014
1176: 23/3968
1177: 2627'13/16
1178: 8/651
1179: 32/91
1180: 46'14/37
1181: 4992'1/4
1182: 21'19/21
1183: 39'951/1156
1184: 51
1185: 37'3973/6308
1186: 99'31/6
1187: 15'8/65
1188: 6
1189: 1'503/1596
1190: 1'7/73
1191: 16'64/161
1192: 98
1193: 29/665
1194: 2142
1195: 28/165
1196: 181'849/1363
1197: 23/27
1198: 17/75
1199: 1'2/27
1200: 1/21
1201: 23/152
1202: 43'361/544
1203: 75'3/7
1204: 504
1205: 2'1712/1729
1206: 1'71/297
1207: 22'26/43
1208: 8'29/33
1209: 29'196/561
1210: 1088'167/266
1211: 5283'9/1
1212: 85'17/52
1213: 649
1214: 58'113/42
1215: 91'19/559
1216: 9'36/73
1217: 26/73
1218: 1'433/536
1219: 6'21/703
1220: 4703'25/77
1221: 6/1475
1222: 5'3/4
1223: 1'2204/3071
1224: 44'229/3
1225: 1'457/88
1226: 282/2581
1227: 2613'1/5
1228: 1909
1229: 1'1/4
1230: 115'2/3
1231: 7/33
1232: 502'4/5
1233: 5'4145/5723
1234: 181'20116/23247
1235: 1'5/49
1236: 26'5287/539
1237: 125'3/25
1238: 769'1/5
1239: 467/387
1240: 7'1/6
1241: 1'1645/3072
1242: 64'1/2
1243: 1'19/35
1244: 3/5
1245: 87'5/6
1246: 9'29/37
1247: 65'1799/204
1248: 38
1249: 9/112
1250: 39'79/97
1251: 1'829/2196
1252: 3'19/29
1253: 78'3/5
1254: 1'758/1643
1255: 2'59/4717
1256: 44/345
1257: 76/4171
1258: 5929/207675
1259: 7'111/152
1260: 84'2332/3045
1261: 44'4/9
1262: 63'17/2
1263: 17'219/1334
1264: 41'27/31
1265: 1'391/105
1266: 3'13/2
1267: 1155
1268: 69'31/44
1269: 103'11/56
1270: 148'4/47
1271: 3/16
1272: 541'5/14
1273: 1'3929/4408
1274: 8/15
1275: 79'2713/333
1276: 39
1277: 81/1271
1278: 33/1184
1279: 36'336/425
1280: 419/469
1281: 27/52
1282: 8'7/6
1283: 22'2804/14763
1284: 2'673/864
1285: 3'78821/11856
1286: 148'15/38
1287: 91/23316
1288: 73'2/3
1289: 148'7/15
1290: 65'97/144
1291: 1/78
1292: 124
1293: 23'39/28
1294: 99
1295: 4108
1296: 62'352/625
1297: 1004'1/7
1298: 1'423/424
1299: 1508
1300: 96'5/97
1301: 1'69/14
1302: 116
1303: 1529'4/7
1304: 79'85/87
1305: 877/2581
1306: 19
1307: 1528'32/61
1308: 7/935
1309: 38'32/39
1310: 1229/238
1311: 14'6/11
1312: 13146'22/43
1313: 38'6/23
1314: 48'23/49
1315: 6793'31/48
1316: 65'1/3
1317: 16'18/23
1318: 192
1319: 117
1320: 55/2916
1321: 58'113/1848
1322: 24'1116/1927
1323: 62'666/1121
1324: 49'7/9
1325: 93'289/49
1326: 16'1/2
1327: 64'349/7
1328: 12'282/851
1329: 34'7/9
1330: 49/8
1331: 144/18241
1332: 77'11035/15276
1333: 7'297/589
1334: 2259/53
1335: 4185'1/3
1336: 74'1/2
1337: 4'46/1107
1338: 48/2923
1339: 7/611
1340: 92'1/32
1341: 374
1342: 31'4/17
1343: 6'91/159
1344: 2812
1345: 18'38/47
1346: 343/72
1347: 234/235
1348: 2397
1349: 11'133/192
1350: 1061491/2811297
1351: 11088
1352: 53'1/3
1353: 115/369
1354: 95/198
1355: 7967'35/36
1356: 6661'3/34
1357: 46345/101376
1358: 111'5/7
1359: 71'3/11
1360: 95/99
1361: 822'2/7
1362: 17'205/221
1363: 34'39/1769
1364: 5/19
1365: 2185/2449
1366: 496
1367: 792
1368: 11
1369: 65/3358
1370: 23987/42966
1371: 93/304
1372: 3'30743/75284
1373: 1'1084/1219
1374: 8'2/23
1375: 1'245/319
1376: 91
1377: 3354'43/198
1378: 1'3/61
1379: 15'19/59
1380: 3'23/27
1381: 6/11
1382: 7'13/5307
1383: 1'14/33
1384: 95'4/77
1385: 48
1386: 2'43/138
1387: 189
1388: 19/221
1389: 5'131/22
1390: 7/142
1391: 21'2/99
1392: 2'751/1302
1393: 181/182476
1394: 1'27/41
1395: 3'3215/18352
1396: 2524'4/9
1397: 76'4/15
1398: 48
1399: 1'8/13
1400: 3312
1401: 8/9
1402: 129
1403: 1'1/5
1404: 15'4303/441
1405: 8'1315/6076
1406: 5'41/85
1407: 2'19/871
1408: 107'19/5
1409: 14608
1410: 156'91/15
1411: 8'1276/1953
1412: 3/406
1413: 1/42
1414: 33'66/85
1415: 1/256
1416: 29'1/71
1417: 5'12/95
1418: 1'161/858
1419: 341
1420: 4'239/13398
1421: 43'1/6
1422: 18'294/23785
1423: 14'2/69
1424: 7'11/73
1425: 48'33/38
1426: 2'59/1551
1427: 1
1428: 293/891
1429: 28'11/13
1430: 536'29/92
1431: 147
1432: 53'117/14
1433: 4'4/27
1434: 5'1/2
1435: 76'988/1185
1436: 893/2046
1437: 25'3453/8924
1438: 5'95/413
1439: 15'37065/67609
1440: 3'113/31
1441: 6688
1442: 34'4699/25517
1443: 141/343
1444: 2'86/95
1445: 603
1446: 4083'371/611
1447: 2'4/5
1448: 4633'17/19
1449: 43'7/12
1450: 6/35
1451: 79'8/93
1452: 79'22/39
1453: 15'4/7
1454: 28'21/44
1455: 11'16/93
1456: 6'3/37
1457: 147
1458: 52'1/166
1459: 12236/18693
1460: 2'2362/11529
1461: 184
1462: 16'2/3
1463: 1075'43/89
1464: 1'3877/5092
1465: 68'19843/50402
1466: 47531/64752
1467: 2067
1468: 64/279
1469: 35'66/71
1470: 9163/150336
1471: 106
1472: 37/2844
1473: 49'4/15
1474: 131/858
1475: 1'59/3154
1476: 3'5/7
1477: 11'21/2279
1478: 2'4/23
1479: 395'61/39
1480: 169681/20196
1481: 833/912
1482: 7'87/361
1483: 32'4/5
1484: 62'3611/1056
1485: 319/756
1486: 96
1487: 189/2183
1488: 1'7/22
1489: 43'7/24
1490: 87'1919/268
1491: 51'1/3
1492: 84'1/5
1493: 5/183
1494: 4'79/87
1495: 234
1496: 5/8
1497: 7/1749
1498: 84'334/497
1499: 41'11/19
1500: 9/15778
1501: 3'1/2
1502: 63
1503: 94'25/28
1504: 1'71/82
1505: 4'4/5
1506: 5/14
1507: 37/782
1508: 63'8/21
1509: 7/36
1510: 57'47/99
1511: 31'1/13
1512: 3338'5/11
1513: 1109/1748
1514: 41'4/7
1515: 43'4/7
1516: 69'3/43
1517: 75'45/266
1518: 105'21/44
1519: 33'3/34
1520: 92'41/67
1521: 29'13/19
1522: 6'11/12
1523: 77'2/33
1524: 87'36/637
1525: 31'31/33
1526: 17'9/35
1527: 6084'3/4
1528: 1
1529: 17'5/8
1530: 191/14229
1531: 7715
1532: 1'28267/13398
1533: 11'9/1
1534: 3'115/403
1535: 12'39/128
1536: 2'1914/2375
1537: 28'82/99
1538: 1'17/2
1539: 3899'3/1
1540: 357504
1541: 885/3569
1542: 14'212/493
1543: 416/9933
1544: 251'4/19
1545: 1638/5185
1546: 1'1347/4087
1547: 2243/826
1548: 8'128/1767
1549: 16'19/21
1550: 1139/2679
1551: 4477/344064
1552: 1/36
1553: 207'3/16
1554: 44'1195/2146
1555: 1'1303/18816
1556: 19'289/558
1557: 61'3/4
1558: 9'101/1246
1559: 7'47/847
1560: 32'2/3
1561: 82'37/57
1562: 81'141/4753
1563: 3456
1564: 96'23/76
1565: 2257'5/6
1566: 97'56/99
1567: 67'23/26
1568: 95'213/629
1569: 113
1570: 476
1571: 115'545/1971
1572: 39'19/39
1573: 55'9/11
1574: 3/5
1575: 6435
1576: 951/925
1577: 23'4421/6862
1578: 13'1/63
1579: 3'9/296
1580: 11'23/26
1581: 22'281/945
1582: 4'94/11275
1583: 713/35424
1584: 111
1585: 6512/223587
1586: 3888
